epoch,cohen_kappa,loss,lr,val_cohen_kappa,val_loss
0,0.5090969800949097,1.42025887966156,0.0003,0.6249278783798218,1.3464463949203491
1,0.6448911428451538,1.2455946207046509,0.0003,0.6575376987457275,1.2733734846115112
2,0.6874257326126099,1.158829689025879,0.0003,0.6576656699180603,1.2427699565887451
3,0.7250491380691528,1.080142855644226,0.0003,0.6352666616439819,1.3125640153884888
4,0.8277140855789185,0.8411630988121033,9e-05,0.6818163394927979,1.31925368309021
5,0.916023313999176,0.5892534255981445,2.7e-05,0.6863160729408264,1.5082601308822632
6,0.9486924409866333,0.46000272035598755,8.1e-06,0.6895303726196289,1.6206480264663696
7,0.9582481980323792,0.41291454434394836,2.43e-06,0.6856160759925842,1.6306039094924927
8,0.960890531539917,0.39771348237991333,1e-06,0.6863025426864624,1.6675463914871216
9,0.9620605111122131,0.3913846015930176,1e-06,0.686677098274231,1.6744413375854492
10,0.9628204107284546,0.38520464301109314,1e-06,0.688140869140625,1.6889864206314087
