epoch,cohen_kappa,loss,lr,val_cohen_kappa,val_loss
0,0.7918627262115479,0.9418181777000427,9e-05,0.06968140602111816,2.1798255443573
1,0.8440730571746826,0.8063558340072632,9e-05,0.10311555862426758,4.185892105102539
2,0.9063559770584106,0.5939231514930725,2.7e-05,0.6264634132385254,1.864651083946228
3,0.9326529502868652,0.4934086501598358,2.7e-05,0.6597632169723511,1.9496108293533325
4,0.9550004601478577,0.39505472779273987,8.1e-06,0.6692521572113037,2.068535804748535
